Name,Title,Prereqs,Coreqs
ECE 201,"Introduction to Electrical and Computer Engineering","None","None"
ECE 202,"Electrical Circuits I","MATH 101, 102","None"
ECE 203,"Electrical Circuits II","ECE 202 or E E 240","ECE 240 or E E 238"
ECE 209,"Fundamentals of Electrical Engineering","None","None"
ECE 209A,"Fundamentals of Electrical Engineering","None","None"
ECE 209B,"Fundamentals of Electrical Engineering","None","None"
ECE 210,"Introduction to Digital Logic Design","None","None"
ECE 212,"Introduction to Microprocessors","ECE 210 or E E 280 or CMPUT 329","None"
ECE 220,"Programming for Electrical Engineering","ENCMP 100","None"
ECE 240,"Continuous Time Signals and Systems","ECE 202 or E E 240, MATH 201","None"
ECE 302,"Electronic Devices","ECE 203 or E E 250","None"
ECE 303,"Analog Electronics","ECE 302 or E E 340","None"
ECE 303A,"Analog Electronics","ECE 302 or E E 340","None"
ECE 303B,"Analog Electronics","ECE 302 or E E 340","None"
ECE 304,"Digital Electronics","ECE 210 or E E 280 or CMPUT 329, and ECE 302 or E E 340","None"
ECE 311,"Computer Organization and Architecture","ECE 212 or E E 380 or CMPUT 229","None"
ECE 312,"Embedded System Design","ECE 220, and ECE 212 or E E 380","ECE 340"
ECE 315,"Computer Interfacing","ECE 212 or E E 380 or CMPUT 229, and 275 or permission of the Instructor","None"
ECE 321,"Software Requirements Engineering","CMPUT 275","None"
ECE 322,"Software Testing and Maintenance Engineering","CMPUT 275","None"
ECE 325,"Object-Oriented Software Design","CMPUT 275","None"
ECE 330,"Introduction to Power Engineering","ECE 203 or E E 250","None"
ECE 332,"Electric Machines","ECE 330 or E E 330 or consent of Department","None"
ECE 340,"Discrete Time Signals and Systems","ECE 240 or E E 238","None"
ECE 341,"Analytical Methods in Electrical Engineering","ECE 240 or E E 238, and MATH 309 or 311","None"
ECE 342,"Probability for Electrical and Computer Engineers","MATH 209","None"
ECE 342A,"Probability for Electrical and Computer Engineers","MATH 209","None"
ECE 342B,"Probability for Electrical and Computer Engineers","MATH 209","None"
ECE 360,"Control Systems I","ECE 203 or E E 250, and ECE 240 or E E 238","None"
ECE 370,"Engineering Electromagnetics","MATH 102, 209 and PHYS 230","None"
ECE 380,"Introduction to Communication Systems","ECE 240 or E E 238","None"
ECE 380A,"Introduction to Communication Systems","ECE 240 or E E 238","None"
ECE 380B,"Introduction to Communication Systems","ECE 240 or E E 238","None"
ECE 401,"Power Electronics","ECE 302 or E E 340","None"
ECE 402,"RF Communication Circuits","ECE 303 or E E 350","ECE 360 or ECE 362 or E E 357 or E E 462"
ECE 403,"Integrated Circuit Design","ECE 304 or E E 351; ECE 410 or CMPE 480","ECE 410 or CMPE 480"
ECE 405,"Biophysical Measurement and Instrumentation","ECE 203 or E E 250 or consent of the Instructor","None"
ECE 406,"Special Topics in Computer Engineering","None","None"
ECE 407,"Special Topics in Computer Engineering","None","None"
ECE 408,"Special Topics in Electrical Engineering","None","None"
ECE 409,"Special Topics in Electrical Engineering","None","None"
ECE 410,"Advanced Digital Logic Design","None","ECE 304 or E E 351"
ECE 412,"Fault-Tolerant Computing","ECE 342","None"
ECE 420,"Parallel and Distributed Programming","CMPUT 275 and 379","None"
ECE 421,"Exploring Software Development Domains","ECE 322 or CMPE 320, ECE 325, CMPUT 301 and CMPUT 379","None"
ECE 422,"Reliable and Secure Systems Design","CMPUT 301","ECE 487"
ECE 423,"Distributed Computing System","CMPUT 379 and (ECE 487 or CMPUT 313)","None"
ECE 430,"Power System Analysis","ECE 330 or E E 330","ECE 332 or E E 332"
ECE 432,"Variable Speed Drives","ECE 332 or E E 332","None"
ECE 433,"Power System Stability and Transients","ECE 330 or E E 330, and ECE 332 or E E 332","None"
ECE 434,"Power System Protection and Grounding","ECE 430","None"
ECE 440,"Digital Computer Processing of Images","ECE 340 or E E 338 or consent of Instructor","None"
ECE 442,"Introduction to Multimedia Signal Processing","ECE 220 or CMPUT 275, ECE 342, MATH 102 or equivalent knowledge","None"
ECE 449,"Intelligent Systems Engineering","None","None"
ECE 450,"Nanoscale Phenomena in Electronic Devices","ECE 302 or E E 340","None"
ECE 452,"Computation for Nanoengineering","ECE 341 or MATH 309 or 311","None"
